,text,onset,offset
469,explorateur,149.43,150.29
470,,150.29,151.38
471,C',151.38,151.53
472,est,151.53,151.65
473,possible,151.65,152.33
474,,152.33,152.88
475,Donc,152.88,153.34
476,,153.34,153.74
477,quand,153.74,153.91
478,,153.91,153.95
479,la,153.95,154.06
480,moralité,154.06,154.69
481,de,154.69,154.78
482,l',154.78,154.83
483,explorateur,154.83,155.65
484,,155.65,155.69
485,paraît,155.69,156.04
486,bonne,156.04,156.48
487,,156.48,156.87
488,on,156.87,156.98
489,fait,156.98,157.24
490,une,157.24,157.36
491,enquête,157.36,157.79
492,sur,157.79,157.93
493,sa,157.93,158.1
494,découverte,158.1,158.89
495,,158.89,159.77
496,On,159.77,159.89
497,va,159.89,160.07
498,voir,160.07,160.49
499,,160.49,161.2
500,Non,161.2,161.5
501,,161.5,161.76
502,C',161.76,161.89
503,est,161.89,162.01
504,trop,162.01,162.29
505,compliqué,162.29,162.97
506,,162.97,163.43
507,Mais,163.43,163.67
508,on,163.67,163.82
509,exige,163.82,164.27
510,de,164.27,164.31
511,,164.31,164.37
512,l',164.37,164.44
513,explorateur,164.44,165.25
514,qu',165.25,165.31
515,il,165.31,165.43
516,fournisse,165.43,165.87
517,des,165.87,166.05
518,preuves,166.05,166.65
519,,166.65,167.27
520,S',167.27,167.42
521,il,167.42,167.56
522,s',167.56,167.71
523,agit,167.71,168.03
524,par,168.03,168.21
525,exemple,168.21,168.71
526,de,168.71,168.81
527,la,168.81,168.95
528,découverte,168.95,169.62
529,d',169.62,169.66
530,une,169.66,169.81
531,grosse,169.81,170.23
532,montagne,170.23,170.9
533,,170.9,171.3
534,on,171.3,171.5
535,exige,171.5,171.98
536,qu',171.98,172.06
537,il,172.06,172.16
538,en,172.16,172.26
539,rapporte,172.26,172.75
540,de,172.75,172.85
541,grosses,172.85,173.41
542,pierres,173.41,173.99
543,,173.99,174.91
544,Le,174.91,175.11
545,géographe,175.11,175.88
546,soudain,175.88,176.44
547,,176.44,176.73
548,s',176.73,176.78
549,émut,176.78,177.18
550,,177.18,178.09
551,«Mais,178.09,178.32
552,toi,178.32,178.62
553,tu,178.62,178.78
554,viens,178.78,178.99
555,de,178.99,179.04
556,,179.04,179.09
557,loin,179.09,179.45
558,,179.45,179.87
559,Tu,179.87,180.0
560,es,180.0,180.19
561,explorateur,180.19,181.04
562,,181.04,181.44
563,Tu,181.44,181.55
564,vas,181.55,181.71
565,me,181.71,181.77
566,décrire,181.77,182.18
567,ta,182.18,182.32
568,planète,182.32,182.9
569,,182.9,184.15
570,Et,184.15,184.28
571,le,184.28,184.31
572,,184.31,184.36
573,géographe,184.36,185.15
574,,185.15,185.24
575,ayant,185.24,185.63
576,ouvert,185.63,186.01
577,son,186.01,186.2
578,registre,186.2,186.84
579,,186.84,187.16
580,tailla,187.16,187.62
581,son,187.62,187.82
582,crayon,187.82,188.31
583,,188.31,189.02
584,On,189.02,189.12
585,,189.12,189.2
586,note,189.2,189.54
587,d',189.54,189.63
588,abord,189.63,189.98
589,au,189.98,190.02
590,crayon,190.02,190.45
591,les,190.45,190.57
592,récits,190.57,190.96
593,des,190.96,191.15
594,explorateurs,191.15,192.03
595,,192.03,192.63
596,On,192.63,192.81
597,attend,192.81,193.27
598,,193.27,193.46
599,pour,193.46,193.62
600,noter,193.62,193.98
601,à,193.98,194.08
602,l',194.08,194.16
603,encre,194.16,194.51
604,,194.51,194.78
605,que,194.78,194.89
606,l',194.89,194.97
607,explorateur,194.97,195.73
608,,195.73,195.83
609,ait,195.83,195.92
610,fourni,195.92,196.36
611,des,196.36,196.55
612,preuves,196.55,197.14
613,,197.14,198.26
614,«Alors,198.26,198.86
615,,198.86,199.27
616,interrogea,199.27,199.92
617,le,199.92,200.0
618,géographe,200.0,200.8
619,,200.8,201.76
620,Oh,201.76,201.87
621,,201.87,202.09
622,chez,202.09,202.36
623,moi,202.36,202.67
624,,202.67,202.95
625,dit,202.95,203.13512828804076
626,le,203.13512828804076,203.35
627,petit,203.35,203.49
628,prince,203.49,204.06
629,,204.06,204.38
630,ce,204.38,204.57
631,n',204.57,204.63
632,est,204.63,204.73
633,pas,204.73,204.88
634,très,204.88,205.11
635,intéressant,205.11,205.74
636,,205.74,205.84
637,c',205.84,205.87
